City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
105,Mar Del Plata,-38.0023,-57.5575,70.88,89,70,8.99,AR,broken clouds
106,Alcudia,39.8532,3.1214,46.38,73,1,4.59,ES,clear sky
107,Acapulco,16.8634,-99.8901,73.96,72,30,5.48,MX,scattered clouds
108,Castro,-24.7911,-50.0119,58.14,98,6,5.06,BR,clear sky
109,Semnan,35.5729,53.3971,44.24,35,63,2.71,IR,broken clouds
110,Kodiak,57.79,-152.4072,35.11,80,100,28.77,US,light snow
111,Sept-Iles,50.2001,-66.3821,30.72,96,100,4.61,CA,mist
112,Aklavik,68.2191,-135.0107,-26.59,99,53,5.37,CA,broken clouds
113,Guiratinga,-16.3494,-53.7583,68.09,98,100,3.38,BR,overcast clouds
114,Sistranda,63.7256,8.834,32.9,54,99,26.15,NO,light snow
115,Hami,42.8,93.45,28.04,62,100,6.76,CN,overcast clouds
116,Severo-Kurilsk,50.6789,156.125,28.74,74,90,4.0,RU,overcast clouds
117,Margate,51.3813,1.3862,39.69,80,5,7.0,GB,clear sky
118,Katsuura,35.1333,140.3,44.71,59,94,17.27,JP,overcast clouds
119,Ostrovnoy,68.0531,39.5131,24.42,88,100,16.35,RU,overcast clouds
120,Port Alfred,-33.5906,26.891,66.63,87,4,5.26,ZA,clear sky
121,Moerai,-22.4333,-151.3333,80.01,73,100,7.02,PF,overcast clouds
122,Olot,42.181,2.4901,49.35,99,25,4.25,ES,scattered clouds
123,Hermanus,-34.4187,19.2345,60.91,79,0,2.98,ZA,clear sky
124,Kapaa,22.0752,-159.319,74.19,69,25,3.96,US,scattered clouds
125,San-Pedro,4.7485,-6.6363,77.18,93,16,2.95,CI,few clouds
126,Alta Floresta,-9.8756,-56.0861,71.92,97,100,2.64,BR,overcast clouds
127,Grindavik,63.8424,-22.4338,34.27,60,75,9.22,IS,broken clouds
128,Vao,-22.6667,167.4833,81.46,85,100,33.71,NC,overcast clouds
129,Whitehorse,60.7161,-135.0538,-0.74,96,21,3.65,CA,few clouds
130,Ilulissat,69.2167,-51.1,-0.38,65,100,2.3,GL,overcast clouds
131,Gamba,-2.65,10.0,77.16,87,100,6.31,GA,overcast clouds
132,Freeport,40.6576,-73.5832,45.25,51,100,6.91,US,overcast clouds
133,Qaanaaq,77.484,-69.3632,-23.22,63,75,4.99,GL,broken clouds
134,Hanmer Springs,-42.5167,172.8167,68.7,72,100,5.17,NZ,overcast clouds
135,Vila Franca Do Campo,37.7167,-25.4333,59.2,73,97,5.3,PT,overcast clouds
136,Aswan,24.0934,32.907,48.38,54,0,9.82,EG,clear sky
137,Puerto Carreno,6.189,-67.4859,80.37,49,68,5.86,CO,broken clouds
138,Inta,66.0317,60.1659,14.65,73,100,16.2,RU,overcast clouds
139,Avera,33.194,-82.5271,55.27,56,9,4.85,US,clear sky
140,Rawson,-43.3002,-65.1023,58.06,56,0,9.91,AR,clear sky
141,Coihaique,-45.5752,-72.0662,43.41,83,23,4.47,CL,few clouds
142,Tomatlan,19.9333,-105.25,62.11,63,0,3.65,MX,clear sky
143,Lakes Entrance,-37.8811,147.981,72.16,59,6,11.59,AU,clear sky
144,Mahebourg,-20.4081,57.7,82.26,78,40,3.44,MU,scattered clouds
145,Resistencia,-27.4606,-58.9839,81.1,81,0,4.85,AR,clear sky
146,Mehamn,71.0357,27.8492,24.75,80,75,13.8,NO,broken clouds
147,Atar,20.5169,-13.0499,66.34,17,97,10.51,MR,overcast clouds
148,Westport,41.1415,-73.3579,45.79,63,0,3.44,US,clear sky
149,Saskylakh,71.9167,114.0833,2.84,94,94,12.15,RU,overcast clouds
150,Bambous Virieux,-20.3428,57.7575,82.22,78,40,3.44,MU,scattered clouds
151,Palmer,42.1584,-72.3287,37.47,81,3,3.13,US,clear sky
152,Tuatapere,-46.1333,167.6833,63.82,74,76,8.1,NZ,broken clouds
153,Banjar,-8.19,114.9675,84.06,70,98,3.24,ID,overcast clouds
154,Butaritari,3.0707,172.7902,82.44,78,37,18.43,KI,scattered clouds
155,Miyang,24.4042,103.4428,64.62,38,1,10.29,CN,clear sky
156,Coquimbo,-29.9533,-71.3436,63.21,85,7,2.37,CL,clear sky
157,Rio Grande,-32.035,-52.0986,72.95,81,7,18.72,BR,clear sky
158,Cabo San Lucas,22.8909,-109.9124,69.51,73,95,4.83,MX,overcast clouds
159,Chinhoyi,-17.3667,30.2,62.29,94,83,3.74,ZW,broken clouds
160,Ambilobe,-13.2,49.05,74.55,96,98,3.06,MG,overcast clouds
161,Saint-Augustin,51.226,-58.6502,28.69,97,100,12.33,CA,light snow
162,Murray Bridge,-35.1167,139.2667,83.32,36,78,14.52,AU,broken clouds
163,Sao Filipe,14.8961,-24.4956,76.84,60,99,4.72,CV,overcast clouds
164,Muli,2.9167,73.5667,81.99,69,91,9.86,MV,overcast clouds
165,Khatanga,71.9667,102.5,-4.0,89,15,12.5,RU,few clouds
166,Chokurdakh,70.6333,147.9167,-26.43,91,73,9.71,RU,broken clouds
167,Santa Cruz,-17.8,-63.1667,74.37,74,42,6.44,BO,scattered clouds
168,Anito,12.4497,125.2886,77.9,88,100,12.68,PH,overcast clouds
169,Te Horo,-40.8084,175.1233,66.58,99,100,2.06,NZ,overcast clouds
170,Pisco,-13.7,-76.2167,71.02,83,30,0.69,PE,scattered clouds
171,Ketchikan,55.3422,-131.6461,33.78,93,0,3.44,US,clear sky
172,Saint Anthony,45.0205,-93.218,40.93,82,75,13.8,US,broken clouds
173,Saint George,37.1041,-113.5841,59.25,36,0,5.75,US,clear sky
174,Krasnyy Kholm,58.0607,37.1203,27.81,96,96,10.47,RU,overcast clouds
175,Guerrero Negro,27.9769,-114.0611,63.95,50,0,2.17,MX,clear sky
176,Druzhba,52.0428,33.9453,33.26,100,100,11.81,UA,light snow
177,Namibe,-15.1961,12.1522,72.34,89,100,4.92,AO,overcast clouds
178,Lavrentiya,65.5833,-171.0,-27.76,98,52,5.23,RU,broken clouds
179,Sao Joao Da Barra,-21.6403,-41.0511,71.53,98,100,6.78,BR,overcast clouds
180,Faanui,-16.4833,-151.75,81.7,73,30,15.01,PF,scattered clouds
181,Kamenka,51.3223,42.7678,28.74,93,95,7.87,RU,overcast clouds
182,Zhuhai,22.2769,113.5678,71.78,77,20,4.61,CN,few clouds
183,Leningradskiy,69.3833,178.4167,-27.58,96,52,3.71,RU,broken clouds
184,Salalah,17.0151,54.0924,69.89,64,75,5.75,OM,broken clouds
185,Mana,5.6592,-53.7767,75.54,89,90,8.16,GF,overcast clouds
186,Malaya Purga,56.5567,53.0043,19.51,96,100,6.08,RU,light snow
187,Kailua,21.4022,-157.7394,75.18,85,20,4.61,US,moderate rain
188,Bengkulu,-3.8004,102.2655,82.54,61,100,4.27,ID,light rain
189,Bousso,10.4795,16.7117,65.66,14,91,6.76,TD,overcast clouds
190,Kavieng,-2.5744,150.7967,83.19,72,95,5.75,PG,light rain
191,Sorong,-0.8833,131.25,83.25,73,100,4.63,ID,overcast clouds
192,Atlantic Beach,30.3344,-81.3987,50.02,84,49,4.63,US,scattered clouds
