City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
226,Valdivia,CL,2022-02-10 02:07:51,-39.8142,-73.2459,60.89,65,100,2.77
227,Esso,RU,2022-02-10 02:10:24,55.9333,158.7,13.93,88,18,1.77
228,Mana,GF,2022-02-10 02:06:13,5.6592,-53.7767,76.64,83,13,7.11
229,Shakhtinsk,KZ,2022-02-10 02:10:25,49.71,72.5872,-12.44,100,100,3.94
230,Leeton,AU,2022-02-10 02:11:25,-34.5667,146.4,85.89,33,100,2.66
231,Chippewa Falls,US,2022-02-10 02:11:25,44.9369,-91.3929,27.54,70,100,12.66
232,Saint-Joseph,RE,2022-02-10 02:11:26,-21.3667,55.6167,71.98,80,47,3.06
233,Fairbanks,US,2022-02-10 02:11:26,64.8378,-147.7164,-1.91,77,100,5.75
234,Cayenne,GF,2022-02-10 02:08:21,4.9333,-52.3333,75.24,91,75,4.61
235,Lata,PT,2022-02-10 02:11:27,40.1629,-8.3327,47.05,69,64,3.44
236,Fortuna,US,2022-02-10 02:11:27,40.5982,-124.1573,62.1,72,0,0.0
237,Bardiyah,LY,2022-02-10 02:11:27,31.7561,25.0865,51.89,65,30,15.68
238,Buala,SB,2022-02-10 02:11:28,-8.145,159.5921,83.23,80,89,10.45
239,Dingle,PH,2022-02-10 02:09:08,10.9995,122.6711,82.83,65,12,16.35
240,Diffa,NE,2022-02-10 02:11:28,13.3154,12.6113,63.82,22,4,9.62
241,Ust-Nera,RU,2022-02-10 02:11:28,64.5667,143.2,-20.88,97,69,4.9
242,Brae,GB,2022-02-10 02:11:29,60.3964,-1.353,37.31,78,96,19.86
243,Qaqortoq,GL,2022-02-10 02:11:29,60.7167,-46.0333,16.3,70,100,10.02
244,Port-Gentil,GA,2022-02-10 02:11:29,-0.7193,8.7815,81.14,80,100,8.23
245,Axim,GH,2022-02-10 02:11:30,4.8699,-2.2405,77.13,91,59,4.68
246,Puerto Ayora,EC,2022-02-10 02:11:30,-0.7393,-90.3518,73.49,83,96,5.68
247,Takab,IR,2022-02-10 02:11:31,36.4009,47.1133,24.87,66,78,3.22
248,Rundu,NA,2022-02-10 02:11:31,-17.9333,19.7667,69.24,84,90,3.31
249,Anamur,TR,2022-02-10 02:11:31,36.0751,32.8369,44.62,61,97,9.46
250,Muros,ES,2022-02-10 02:11:31,42.7762,-9.0603,54.23,95,23,6.55
251,Christchurch,NZ,2022-02-10 02:10:22,-43.5333,172.6333,76.91,76,20,5.01
252,Sudislavl,RU,2022-02-10 02:11:32,57.8817,41.7083,23.56,96,100,5.93
253,Wagar,SD,2022-02-10 02:11:32,16.1525,36.2032,71.56,71,0,7.99
254,Alofi,NU,2022-02-10 02:11:33,-19.0595,-169.9187,85.89,70,40,8.05
255,Narrabri,AU,2022-02-10 02:11:33,-30.3167,149.7833,90.52,30,2,4.0
256,Madimba,TZ,2022-02-10 02:11:33,-10.4,40.3333,78.71,84,100,8.55
257,Susangerd,IR,2022-02-10 02:11:34,31.5608,48.1831,54.3,47,0,10.33
258,Hithadhoo,MV,2022-02-10 02:11:34,-0.6,73.0833,81.73,74,14,11.86
259,Gazanjyk,TM,2022-02-10 02:10:16,39.2446,55.5154,49.15,39,3,4.32
