City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
621,Port Augusta,AU,88.7,clear sky,-32.5,137.7667,
627,Cap Malheureux,MU,82.47,clear sky,-19.9842,57.6142,
633,Kendari,ID,81.88,overcast clouds,-3.945,122.4989,
643,Tarakan,ID,81.9,scattered clouds,3.3,117.6333,
647,Balaipungut,ID,81.01,overcast clouds,1.05,101.2833,
651,Imbituba,BR,77.83,broken clouds,-28.24,-48.6703,
655,Okaihau,NZ,75.52,broken clouds,-35.3167,173.7833,
660,Sinnamary,GF,75.58,broken clouds,5.3833,-52.95,
663,Morondava,MG,80.01,scattered clouds,-20.2833,44.2833,
674,The Valley,AI,77.09,scattered clouds,18.217,-63.0578,
683,Guaruja,BR,76.89,broken clouds,-23.9931,-46.2564,
684,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,
685,Mogadishu,SO,76.19,broken clouds,2.0371,45.3438,
686,Salgado,BR,81.3,scattered clouds,-11.0319,-37.475,
687,Rancho Palos Verdes,US,75.27,clear sky,33.7445,-118.387,
690,Shwebo,MM,77.27,clear sky,22.5667,95.7,
698,Bowen,AU,84.27,clear sky,-20.0167,148.2333,
699,Ransang,PH,84.88,light rain,8.9603,117.5828,
700,Kieta,PG,82.31,moderate rain,-6.2167,155.6333,
